frame.time_delta,frame.time_delta_displayed,frame.time_epoch,frame.time_invalid,frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,eth.src,eth.dst,frame.cap_len,frame.coloring_rule.name,frame.coloring_rule.string,frame.comment,frame.comment.expert,frame.encap_type,frame.file_off,frame.ignored,frame.incomplete,frame.interface_id,frame.interface_name,frame.len,frame.link_nr,frame.marked,frame.md5_hash,frame.number,frame.offset_shift,mqtt.clientid,mqtt.clientid_len,mqtt.conack.flags,mqtt.conack.flags.reserved,mqtt.conack.flags.sp,mqtt.conack.val,mqtt.conflag.cleansess,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.uname,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.msg,mqtt.msgid,mqtt.msgtype,mqtt.passwd,mqtt.passwd_len,mqtt.proto_len,mqtt.protoname,mqtt.qos,mqtt.retain,mqtt.sub.qos,mqtt.suback.qos,mqtt.topic,mqtt.topic_len,mqtt.username,mqtt.username_len,mqtt.ver,mqtt.willmsg,mqtt.willmsg_len,mqtt.willtopic,mqtt.willtopic_len
"1.682530000","1.682530000","1509005645.941173000",,"8.502593000","192.168.1.116","178.62.82.186","2633","1883","98:5f:d3:d1:2b:00","18:a6:f7:eb:77:26","66",,,,,"1",,"0",,,,"66",,"0",,"36","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0.030414000","0.030414000","1509005645.971587000",,"8.533007000","178.62.82.186","192.168.1.116","1883","2633","18:a6:f7:eb:77:26","98:5f:d3:d1:2b:00","66",,,,,"1",,"0",,,,"66",,"0",,"37","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0.003787000","0.003787000","1509005645.975374000",,"8.536794000","192.168.1.116","178.62.82.186","2633","1883","98:5f:d3:d1:2b:00","18:a6:f7:eb:77:26","54",,,,,"1",,"0",,,,"54",,"0",,"38","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0.000948000","0.000948000","1509005645.976322000",,"8.537742000","192.168.1.116","178.62.82.186","2633","1883","98:5f:d3:d1:2b:00","18:a6:f7:eb:77:26","79",,,,,"1",,"0",,,,"79",,"0",,"39","0.000000000","Cliente2.js","11",,,,,"1","0","0","0","0","0","0","0x00000002","0","0x00000010","60","23",,,"1",,,"4","MQTT","0","0",,,,,,,"4",,,,
"0.030441000","0.030441000","1509005646.006763000",,"8.568183000","178.62.82.186","192.168.1.116","1883","2633","18:a6:f7:eb:77:26","98:5f:d3:d1:2b:00","54",,,,,"1",,"0",,,,"54",,"0",,"40","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0.000476000","0.000476000","1509005646.007239000",,"8.568659000","178.62.82.186","192.168.1.116","1883","2633","18:a6:f7:eb:77:26","98:5f:d3:d1:2b:00","58",,,,,"1",,"0",,,,"58",,"0",,"41","0.000000000",,,"0x00000000","0","0","0",,,,,,,,,"0","0x00000020",,"2",,,"2",,,,,"0","0",,,,,,,,,,,
"0.010113000","0.010113000","1509005646.017352000",,"8.578772000","192.168.1.116","178.62.82.186","2633","1883","98:5f:d3:d1:2b:00","18:a6:f7:eb:77:26","70",,,,,"1",,"0",,,,"70",,"0",,"42","0.000000000",,,,,,,,,,,,,,,"0","0x00000082",,"14",,"55136","8",,,,,"1","0","0",,"presence2","9",,,,,,,
"0.039813000","0.039813000","1509005646.057165000",,"8.618585000","178.62.82.186","192.168.1.116","1883","2633","18:a6:f7:eb:77:26","98:5f:d3:d1:2b:00","59",,,,,"1",,"0",,,,"59",,"0",,"43","0.000000000",,,,,,,,,,,,,,,"0","0x00000090",,"3",,"55136","9",,,,,"0","0",,"0",,,,,,,,,
"0.047549000","0.047549000","1509005646.104714000",,"8.666134000","192.168.1.116","178.62.82.186","2633","1883","98:5f:d3:d1:2b:00","18:a6:f7:eb:77:26","54",,,,,"1",,"0",,,,"54",,"0",,"44","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1.113859000","1.113859000","1509005647.218573000",,"9.779993000","192.168.1.116","178.62.82.186","2633","1883","98:5f:d3:d1:2b:00","18:a6:f7:eb:77:26","54",,,,,"1",,"0",,,,"54",,"0",,"45","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0.978298000","0.978298000","1509005648.196871000",,"10.758291000","52.18.158.203","192.168.1.116","443","2619","18:a6:f7:eb:77:26","98:5f:d3:d1:2b:00","54",,,,,"1",,"0",,,,"54",,"0",,"46","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0.099839000","0.099839000","1509005648.296710000",,"10.858130000","192.168.1.116","52.18.158.203","2619","443","98:5f:d3:d1:2b:00","18:a6:f7:eb:77:26","54",,,,,"1",,"0",,,,"54",,"0",,"47","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
